fen,success,depth,nodes,time_s,score
8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K w - - 0 1,True,1,121,2.281,+50499
3rrk2/2p2pR1/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK w - - 0 1,True,1,156,0.17,+50499
r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3 w - - 0 1,True,1,122,0.114,+50499
3n4/1R6/p5k1/2B5/1P3PK1/r7/8/8 w - - 0 1,True,2,487,0.138,+50317
1r3rk1/1pnnq1bR/p1pp2B1/P2P1p2/1PP1pP2/2B3P1/5PK1/2Q4R w - - 0 1,True,2,554,0.077,+50415
b3r1k1/5ppp/p2p4/p4qN1/Q2b4/6R1/5PPP/5RK1 b - - 0 1,True,1,112,0.131,+50499
5k2/p3Rr2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1 w - - 0 1,True,2,619,0.112,+50360
4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K w - - 0 1,True,2,607,0.129,+50341
r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R b - - 0 1,True,1,86,0.051,+50499
2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K w - - 0 1,True,2,521,0.134,+50372
q2br1k1/1b4pp/3Bp3/p6n/1p3R2/3B1N2/PP2QPPP/6K1 w - - 0 1,True,2,650,0.153,+50434
5r1k/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP4RK/8 w - - 0 1,True,1,52,0.03,+50499
8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2 w - - 0 1,True,2,394,0.097,+50483
2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K w - - 0 1,True,2,605,0.077,+50317
4r1k1/pQ3pp1/7p/4q3/4r3/P7/1P2nPPP/2BR1R1K b - - 0 1,True,1,104,0.059,+50499
3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1 w - - 0 1,True,2,376,0.151,+50421
6k1/5p2/p3bRpQ/4q3/2r3P1/6NP/P1p2R1K/1r6 w - - 0 1,True,1,82,0.045,+50499
rnb1k2r/pp3ppp/1qp2B2/2bPp3/4P3/2N5/PPP3PP/R2QKBNR b KQkq - 0 1,True,1,82,0.19,+50499
r2r4/pp2ppkp/2P3p1/q1p5/4PQ2/2P2b2/P4PPP/2R1KB1R b - - 0 1,True,1,104,0.113,+50499
8/8/2N1P3/1P6/4Q3/4b2K/4k3/4q3 w - - 0 1,True,2,279,0.157,+50471
1b2r1k1/3n2p1/p3p2p/1p3r2/3PNp1q/3BnP1P/PP1BQP1K/R6R b - - 0 1,True,1,116,0.082,+50499
5b2/q4r1p/p3k1p1/2pNppP1/1P6/3Q1P1P/P7/1K1R4 w - - 0 1,True,1,100,0.148,+50499
8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8 b - - 0 1,True,1,72,0.059,+50499
r3nr1k/1b2Nppp/pn6/q3p1P1/P1p4Q/R7/1P2PP1P/2B2RK1 w - - 0 1,True,1,84,0.079,+50499
r1b3nr/ppp1kB1p/3p4/8/3PPBnb/1Q3p2/PPP2q2/RN4RK b - - 0 1,True,1,86,0.108,+50499
q5k1/5rb1/r6p/1Np1n1p1/3p1Pn1/1N4P1/PP5P/R1BQRK2 b - - 0 1,True,1,110,0.075,+50499
8/2P2pk1/3Q4/4pq2/7p/6pP/2r3P1/6RK b - - 0 1,True,1,79,0.131,+50499
8/p1R3p1/4p1kn/3p3N/3Pr2P/6P1/PP3K2/8 w - - 0 1,True,2,307,0.08,+50434
r1b1k2r/1p2bppp/p3q3/1p2p1B1/8/3Q1N2/PPP2PPP/3R1RK1 w kq - 0 1,True,1,103,0.078,+50499
rn2k2r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/3RR2K w kq - 0 1,True,2,726,0.13,+49885
r1b1k2r/pp3ppp/2n1p3/6B1/2p1q3/Q7/PP2PPPP/3RKB1R w Kkq - 0 1,True,1,96,0.086,+50499
2k4r/1pp1n1pp/p1pr1pb1/4p3/Nq2P1P1/1P1PKN1P/2P1QP2/3R3R b - - 0 1,True,1,86,0.125,+50499
5k1r/4npp1/p3p2p/3nP2P/3P3Q/3N4/qB2KPP1/2R5 w - - 0 1,True,1,86,0.107,+50499
2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8 w - - 0 1,True,1,133,0.072,+50499
5r1r/1p6/p1p2p2/2P1bPpk/4R3/6PP/P2B2K1/3R4 w - - 0 1,True,2,325,0.1,+50446
