fen,success,depth,nodes,time_s,score
KRRBBQQQ/PPPPPPPP/8/6p1/3b4/7k/8/8 w - - 0 1,True,1,6,0.891,"PovScore(Cp(0), WHITE)"
3b3k/p6p/1p5P/3q4/8/n7/PP6/K4Q2 w - - 0 1,False,6,23855,1.305,"PovScore(Cp(+23), WHITE)"
8/8/8/8/8/p7/2K5/k7 w - - 0 1,False,6,2221,0.17,"PovScore(Cp(+1142), WHITE)"
8/2K3R1/8/8/8/7p/8/7k w - - 0 1,False,6,10540,0.835,"PovScore(Cp(+744), WHITE)"
8/8/8/8/8/5kp1/8/5K2 b - - 0 1,True,2,346,0.027,"PovScore(Cp(+29), BLACK)"
7k/8/5KP1/8/8/8/8/8 w - - 0 1,True,1,215,0.027,"PovScore(Cp(+23), WHITE)"
6k1/8/5PK1/8/8/8/8/8 w - - 0 1,True,1,217,0.014,"PovScore(Cp(+23), WHITE)"
3k4/8/2PK4/8/8/8/8/8 w - - 0 1,True,1,57,0.019,"PovScore(Cp(-25), WHITE)"
8/8/8/8/8/4pk2/8/5K2 b - - 0 1,True,6,2511,0.32,"PovScore(Cp(+10), BLACK)"
8/8/1P6/8/3b4/6kp/5N2/6K1 b - - 0 1,False,6,5664,1.154,"PovScore(Cp(+260), BLACK)"
5k2/8/4PK2/8/8/8/8/8 w - - 0 1,True,1,213,0.013,"PovScore(Cp(+23), WHITE)"
7k/8/6PK/8/8/8/8/8 w - - 0 1,True,1,141,0.015,"PovScore(Cp(+23), WHITE)"
6k1/8/6KP/8/8/8/8/8 w - - 0 1,True,1,55,0.016,"PovScore(Cp(-25), WHITE)"
1k6/8/PK6/8/8/8/8/8 w - - 0 1,True,1,57,0.016,"PovScore(Cp(-25), WHITE)"
6k1/8/6BP/6K1/8/8/8/8 w - - 0 1,True,3,1255,0.139,"PovScore(Cp(+25), WHITE)"
8/8/8/8/8/6kp/8/6K1 b - - 0 1,True,2,328,0.035,"PovScore(Cp(-24), BLACK)"
8/8/8/4K3/8/7Q/5p2/6k1 w - - 0 1,False,6,23395,3.947,"PovScore(Cp(+1790), WHITE)"
3k3n/6KP/8/8/8/8/8/8 b - - 0 1,True,1,196,0.016,"PovScore(Cp(+23), BLACK)"
8/8/8/8/8/5pk1/8/6K1 b - - 0 1,True,6,2548,0.364,"PovScore(Cp(+26), BLACK)"
k7/2K5/nP6/8/8/8/5B2/8 w - - 0 1,True,4,678,0.104,"PovScore(Cp(-26), WHITE)"
6k1/8/6KP/7P/8/8/8/8 w - - 0 1,True,1,185,0.027,"PovScore(Cp(+23), WHITE)"
6k1/8/7P/6K1/8/2p5/2B5/8 w - - 0 1,True,1,441,0.029,"PovScore(Cp(+23), WHITE)"
8/8/8/8/4q2p/7K/4pk1P/6Q1 b - - 0 1,True,6,7668,0.742,"PovScore(Cp(+15), BLACK)"
8/8/8/8/8/6kp/8/6K1 b - - 0 1,True,2,316,0.006,"PovScore(Cp(-24), BLACK)"
5k2/8/5KP1/8/8/8/8/8 w - - 0 1,True,1,209,0.015,"PovScore(Cp(+23), WHITE)"
7k/7P/6K1/8/p7/N7/8/1q6 w - - 0 1,False,6,1952,0.668,"PovScore(Cp(+193), WHITE)"
8/8/8/8/8/4kp2/8/4K3 b - - 0 1,True,2,326,0.028,"PovScore(Cp(+28), BLACK)"
4k3/8/4KP2/8/8/8/8/8 w - - 0 1,True,1,55,0.016,"PovScore(Cp(-25), WHITE)"
7k/8/5KP1/8/8/8/8/8 w - - 0 1,True,1,207,0.005,"PovScore(Cp(+23), WHITE)"
3R1k2/8/8/8/1p6/5p2/1r3p2/5K2 b - - 0 1,False,6,3965,0.37,"PovScore(Cp(-602), BLACK)"
6k1/8/5PK1/8/8/8/8/8 w - - 0 1,True,1,207,0.003,"PovScore(Cp(+23), WHITE)"
8/8/8/8/8/6pk/8/7K b - - 0 1,True,2,222,0.018,"PovScore(Cp(+28), BLACK)"
8/8/8/8/8/5kp1/8/5K2 b - - 0 1,False,6,2072,0.29,"PovScore(Cp(+693), BLACK)"
6k1/8/6K1/7P/8/8/8/8 w - - 0 1,True,1,213,0.014,"PovScore(Cp(+23), WHITE)"
8/8/8/8/8/5pk1/8/6K1 b - - 0 1,True,2,337,0.01,"PovScore(Cp(+23), BLACK)"
8/8/8/8/8/6kp/8/6K1 b - - 0 1,True,2,318,0.008,"PovScore(Cp(-24), BLACK)"
8/8/8/8/8/7p/8/5K1k w - - 0 1,False,6,1311,0.11,"PovScore(Cp(+1143), WHITE)"
7k/8/6PK/8/8/8/8/8 w - - 0 1,True,1,135,0.002,"PovScore(Cp(+23), WHITE)"
7K/5k2/7P/8/8/8/8/8 b - - 0 1,True,1,57,0.02,"PovScore(Cp(-25), BLACK)"
8/8/8/p7/k1b5/8/8/1K6 b - - 0 1,True,4,1920,0.295,"PovScore(Cp(+9), BLACK)"
8/2N3k1/4p2p/1p2Pp1K/1P1n1P1P/8/8/8 b - - 0 1,False,6,7364,2.091,"PovScore(Cp(+168), BLACK)"
8/8/8/8/8/4pk2/8/5K2 b - - 0 1,True,2,347,0.007,"PovScore(Cp(+24), BLACK)"
6Q1/4K3/8/5q2/k7/4Q3/8/8 b - - 0 1,True,3,2872,0.419,"PovScore(Cp(+18), BLACK)"
8/8/6pp/8/7K/7P/6r1/5Rk1 b - - 0 1,True,6,3526,0.292,"PovScore(Cp(0), BLACK)"
8/8/8/8/8/1kR5/p5r1/K7 b - - 0 1,True,6,12254,0.742,"PovScore(Cp(+24), BLACK)"
8/8/8/8/7p/6k1/8/6K1 b - - 0 1,True,1,215,0.062,"PovScore(Cp(+23), BLACK)"
1k6/8/PK6/8/8/2B5/8/8 w - - 0 1,True,3,1107,0.15,"PovScore(Cp(+21), WHITE)"
8/8/8/8/8/5kp1/8/7K b - - 0 1,False,6,2317,0.188,"PovScore(Cp(+701), BLACK)"
5k1K/8/7P/8/8/8/8/8 b - - 0 1,True,1,47,0.004,"PovScore(Cp(-25), BLACK)"
4k3/8/4KP2/8/8/8/8/8 w - - 0 1,True,1,53,0.005,"PovScore(Cp(-25), WHITE)"
8/8/8/8/8/3kp3/8/3K4 b - - 0 1,True,2,358,0.036,"PovScore(Cp(+10), BLACK)"
4k3/8/4KP2/8/8/8/8/8 w - - 0 1,True,1,53,0.016,"PovScore(Cp(-25), WHITE)"
6rk/8/5P1K/7P/8/p7/B7/8 w - - 0 1,False,6,4841,0.957,"PovScore(Cp(+120), WHITE)"
8/8/8/8/7k/7p/8/6K1 b - - 0 1,True,2,256,0.021,"PovScore(Cp(+27), BLACK)"
5k1K/8/7P/8/8/8/8/8 b - - 0 1,True,1,47,0.005,"PovScore(Cp(-25), BLACK)"
1k6/8/P7/1K6/8/8/8/8 w - - 0 1,True,1,209,0.012,"PovScore(Cp(+23), WHITE)"
6k1/8/6K1/7P/8/8/8/8 w - - 0 1,True,1,207,0.015,"PovScore(Cp(+23), WHITE)"
8/8/8/8/7p/8/7p/5K1k w - - 0 1,False,6,1178,0.097,"PovScore(Cp(+1313), WHITE)"
8/8/8/5N2/8/6k1/6p1/6K1 b - - 0 1,True,2,294,0.034,"PovScore(Cp(+28), BLACK)"
6k1/8/5PK1/8/8/8/8/8 w - - 0 1,True,1,207,0.02,"PovScore(Cp(+23), WHITE)"
6k1/8/6BP/5K2/8/8/8/8 w - - 0 1,True,1,71,0.019,"PovScore(Cp(-25), WHITE)"
8/8/8/8/8/7p/5K2/7k w - - 0 1,False,6,2089,0.099,"PovScore(Cp(+1142), WHITE)"
K7/2k5/P7/5p2/8/8/8/8 b - - 0 1,True,2,326,0.032,"PovScore(Cp(+15), BLACK)"
5k2/8/5KP1/8/8/8/8/8 w - - 0 1,True,1,207,0.018,"PovScore(Cp(+23), WHITE)"
6k1/8/6KP/8/8/8/8/8 w - - 0 1,True,1,53,0.008,"PovScore(Cp(-25), WHITE)"
7K/5k2/7P/p7/Pp6/8/8/8 b - - 0 1,True,4,611,0.053,"PovScore(Cp(-27), BLACK)"
1B6/Pk6/8/1K6/8/8/8/8 w - - 0 1,True,3,1073,0.19,"PovScore(Cp(-15), WHITE)"
8/8/8/8/8/6pk/8/7K b - - 0 1,True,2,218,0.034,"PovScore(Cp(+28), BLACK)"
2rQ3k/7p/1p6/1p2p3/4Pp2/5n1b/7P/6RK b - - 0 1,False,6,14590,0.829,"PovScore(Cp(-2015), BLACK)"
6k1/3B4/7K/8/8/8/7P/8 w - - 0 1,True,1,89,0.024,"PovScore(Cp(-25), WHITE)"
6k1/8/7P/5K2/8/8/8/8 w - - 0 1,True,1,237,0.013,"PovScore(Cp(+23), WHITE)"
8/8/8/8/8/6kp/8/6K1 b - - 0 1,True,2,314,0.008,"PovScore(Cp(-24), BLACK)"
5k2/8/4PK2/8/8/8/8/8 w - - 0 1,True,1,207,0.011,"PovScore(Cp(+23), WHITE)"
6K1/7P/5k1r/8/8/8/8/8 b - - 0 1,True,5,3409,0.751,"PovScore(Cp(-12), BLACK)"
1k6/8/1K6/P7/8/8/8/8 w - - 0 1,True,1,207,0.013,"PovScore(Cp(+23), WHITE)"
5k2/8/5KP1/8/8/8/8/8 w - - 0 1,True,1,207,0.008,"PovScore(Cp(+23), WHITE)"
K1R5/3k4/P7/8/8/7p/8/8 b - - 0 1,True,1,55,0.02,"PovScore(Cp(-25), BLACK)"
6k1/8/6K1/5B1P/8/8/8/8 w - - 0 1,True,5,4403,0.853,"PovScore(Cp(+16), WHITE)"
4k1QK/5q1P/8/8/8/8/8/8 b - - 0 1,True,4,1598,0.174,"PovScore(Cp(-27), BLACK)"
6k1/8/6K1/7P/8/8/8/8 w - - 0 1,True,1,207,0.033,"PovScore(Cp(+23), WHITE)"
5qQK/4k2P/8/8/8/8/8/8 b - - 0 1,True,5,8640,0.765,"PovScore(Cp(+13), BLACK)"
6k1/8/6KP/8/8/8/8/8 w - - 0 1,True,1,53,0.008,"PovScore(Cp(-25), WHITE)"
8/6R1/8/5b2/7K/4kr2/8/8 b - - 0 1,True,2,1256,0.114,"PovScore(Cp(-22), BLACK)"
4k3/8/4KP2/8/8/8/8/8 w - - 0 1,True,1,53,0.008,"PovScore(Cp(-25), WHITE)"
6k1/8/5PK1/8/8/8/8/8 w - - 0 1,True,1,207,0.005,"PovScore(Cp(+23), WHITE)"
8/Pk1K4/8/1N6/8/8/8/8 w - - 0 1,False,6,7720,0.932,"PovScore(Cp(+141), WHITE)"
8/8/4p1p1/3pP3/3P2P1/p7/2K5/k7 w - - 0 1,False,6,2572,0.288,"PovScore(Cp(+607), WHITE)"
7k/5R2/6R1/8/3P2rK/5P2/5P1P/8 w - - 0 1,True,3,1397,0.113,"PovScore(Cp(+22), WHITE)"
8/8/8/8/8/kp6/8/K7 b - - 0 1,True,2,219,0.025,"PovScore(Cp(+28), BLACK)"
6k1/8/6KP/8/8/8/8/8 w - - 0 1,True,1,53,0.004,"PovScore(Cp(-25), WHITE)"
5k2/8/4PK2/8/8/8/8/8 w - - 0 1,True,1,207,0.003,"PovScore(Cp(+23), WHITE)"
8/8/8/8/8/5pk1/8/6K1 b - - 0 1,True,6,2312,0.052,"PovScore(Cp(+26), BLACK)"
8/1p6/1K6/p3k3/P7/8/8/8 b - - 0 1,True,4,1563,3.935,"PovScore(Cp(-22), BLACK)"
8/8/8/8/8/6pk/8/7K b - - 0 1,True,2,210,0.01,"PovScore(Cp(+28), BLACK)"
8/8/8/8/8/6kp/8/6K1 b - - 0 1,True,2,319,0.012,"PovScore(Cp(-24), BLACK)"
1k6/8/1KP5/8/8/8/8/8 w - - 0 1,True,1,209,0.032,"PovScore(Cp(+23), WHITE)"
1k6/8/1K6/P7/8/8/8/8 w - - 0 1,True,1,211,0.019,"PovScore(Cp(+23), WHITE)"
k7/8/KP6/8/8/8/8/8 w - - 0 1,True,1,143,0.013,"PovScore(Cp(+23), WHITE)"
8/8/8/p7/k1K2p2/1p4P1/8/2B5 w - - 0 1,False,6,5167,1.837,"PovScore(Cp(+496), WHITE)"
2k5/8/1PK5/8/8/8/8/8 w - - 0 1,True,1,211,0.014,"PovScore(Cp(+23), WHITE)"
8/8/8/8/8/5kp1/8/5K2 b - - 0 1,True,6,2187,0.128,"PovScore(Cp(-14), BLACK)"
8/8/8/8/7k/7p/8/6K1 b - - 0 1,True,2,251,0.021,"PovScore(Cp(+27), BLACK)"
8/8/8/8/8/5kp1/8/7K b - - 0 1,True,6,3191,0.128,"PovScore(Cp(+24), BLACK)"
8/8/8/8/8/4kp2/8/4K3 b - - 0 1,True,2,316,0.015,"PovScore(Cp(+28), BLACK)"
7K/5k2/7P/8/8/8/8/8 b - - 0 1,True,1,53,0.012,"PovScore(Cp(-25), BLACK)"
8/8/8/8/8/R6k/6rp/7K b - - 0 1,True,1,428,0.039,"PovScore(Cp(+23), BLACK)"
8/8/8/4bk2/8/8/6Kp/8 b - - 0 1,False,6,10792,1.665,"PovScore(Cp(+606), BLACK)"
6k1/8/6K1/7P/8/8/8/8 w - - 0 1,True,1,213,0.003,"PovScore(Cp(+23), WHITE)"
1k6/8/PK6/8/8/8/8/8 w - - 0 1,True,1,53,0.004,"PovScore(Cp(-25), WHITE)"
8/8/8/8/k7/p7/8/1K6 b - - 0 1,True,3,424,0.044,"PovScore(Cp(+11), BLACK)"
8/8/8/8/8/4kp2/8/4K3 b - - 0 1,True,2,316,0.007,"PovScore(Cp(+28), BLACK)"
8/8/8/8/8/4kp2/8/4K3 b - - 0 1,True,2,292,0.007,"PovScore(Cp(+28), BLACK)"
8/8/8/8/8/3pk3/8/4K3 b - - 0 1,False,6,3172,0.416,"PovScore(Cp(+22), BLACK)"
2k5/8/2KP4/8/8/8/8/8 w - - 0 1,True,1,211,0.015,"PovScore(Cp(+23), WHITE)"
8/8/8/8/8/5kp1/8/5K2 b - - 0 1,True,6,2121,0.097,"PovScore(Cp(-14), BLACK)"
4k3/8/4KP2/8/8/8/8/8 w - - 0 1,True,1,53,0.004,"PovScore(Cp(-25), WHITE)"
6k1/8/7P/6K1/8/8/8/8 w - - 0 1,True,1,209,0.006,"PovScore(Cp(+23), WHITE)"
7K/5k2/7P/8/8/8/8/8 b - - 0 1,True,1,53,0.004,"PovScore(Cp(-25), BLACK)"
8/8/8/8/2b5/pk6/8/1K6 b - - 0 1,True,4,1352,0.112,"PovScore(Cp(-25), BLACK)"
