fen,success,depth,nodes,time_s,score
KRRBBQQQ/PPPPPPPP/8/6p1/3b4/7k/8/8 w - - 0 1,True,1,6,1.633,"PovScore(Cp(0), WHITE)"
3b3k/p6p/1p5P/3q4/8/n7/PP6/K4Q2 w - - 0 1,False,6,25208,1.835,"PovScore(Cp(+309), WHITE)"
8/8/8/8/8/p7/2K5/k7 w - - 0 1,False,6,1839,0.219,"PovScore(Cp(+1792), WHITE)"
8/2K3R1/8/8/8/7p/8/7k w - - 0 1,True,1,478,0.036,"PovScore(Cp(+23), WHITE)"
8/8/8/8/8/5kp1/8/5K2 b - - 0 1,True,2,340,0.039,"PovScore(Cp(+27), BLACK)"
7k/8/5KP1/8/8/8/8/8 w - - 0 1,True,3,747,0.092,"PovScore(Cp(+26), WHITE)"
6k1/8/5PK1/8/8/8/8/8 w - - 0 1,True,1,211,0.034,"PovScore(Cp(+23), WHITE)"
3k4/8/2PK4/8/8/8/8/8 w - - 0 1,True,3,679,0.091,"PovScore(Cp(+22), WHITE)"
8/8/8/8/8/4pk2/8/5K2 b - - 0 1,True,6,2203,0.485,"PovScore(Cp(+11), BLACK)"
8/8/1P6/8/3b4/6kp/5N2/6K1 b - - 0 1,False,6,6841,1.996,"PovScore(Cp(+54), BLACK)"
5k2/8/4PK2/8/8/8/8/8 w - - 0 1,True,1,214,0.019,"PovScore(Cp(+23), WHITE)"
7k/8/6PK/8/8/8/8/8 w - - 0 1,True,1,139,0.027,"PovScore(Cp(+23), WHITE)"
6k1/8/6KP/8/8/8/8/8 w - - 0 1,True,1,209,0.021,"PovScore(Cp(+23), WHITE)"
1k6/8/PK6/8/8/8/8/8 w - - 0 1,True,1,213,0.022,"PovScore(Cp(+23), WHITE)"
6k1/8/6BP/6K1/8/8/8/8 w - - 0 1,True,1,401,0.041,"PovScore(Cp(+23), WHITE)"
8/8/8/8/8/6kp/8/6K1 b - - 0 1,True,2,329,0.048,"PovScore(Cp(-21), BLACK)"
8/8/8/4K3/8/7Q/5p2/6k1 w - - 0 1,True,1,747,0.1,"PovScore(Cp(+23), WHITE)"
3k3n/6KP/8/8/8/8/8/8 b - - 0 1,True,5,2349,0.624,"PovScore(Cp(+16), BLACK)"
8/8/8/8/8/5pk1/8/6K1 b - - 0 1,True,6,2200,0.4,"PovScore(Cp(-19), BLACK)"
k7/2K5/nP6/8/8/8/5B2/8 w - - 0 1,True,1,107,0.087,"PovScore(Cp(-25), WHITE)"
6k1/8/6KP/7P/8/8/8/8 w - - 0 1,True,3,587,0.082,"PovScore(Cp(-9), WHITE)"
6k1/8/7P/6K1/8/2p5/2B5/8 w - - 0 1,True,1,95,0.036,"PovScore(Cp(-25), WHITE)"
8/8/8/8/4q2p/7K/4pk1P/6Q1 b - - 0 1,True,6,7526,1.084,"PovScore(Cp(+15), BLACK)"
8/8/8/8/8/6kp/8/6K1 b - - 0 1,True,2,331,0.014,"PovScore(Cp(-21), BLACK)"
5k2/8/5KP1/8/8/8/8/8 w - - 0 1,True,1,209,0.022,"PovScore(Cp(+23), WHITE)"
7k/7P/6K1/8/p7/N7/8/1q6 w - - 0 1,False,6,2166,0.753,"PovScore(Cp(+780), WHITE)"
8/8/8/8/8/4kp2/8/4K3 b - - 0 1,True,2,309,0.033,"PovScore(Cp(-22), BLACK)"
4k3/8/4KP2/8/8/8/8/8 w - - 0 1,True,5,2148,0.403,"PovScore(Cp(+22), WHITE)"
7k/8/5KP1/8/8/8/8/8 w - - 0 1,True,3,744,0.043,"PovScore(Cp(+26), WHITE)"
3R1k2/8/8/8/1p6/5p2/1r3p2/5K2 b - - 0 1,True,6,4163,0.429,"PovScore(Cp(-5), BLACK)"
6k1/8/5PK1/8/8/8/8/8 w - - 0 1,True,1,211,0.199,"PovScore(Cp(+23), WHITE)"
8/8/8/8/8/6pk/8/7K b - - 0 1,True,2,258,0.028,"PovScore(Cp(+17), BLACK)"
8/8/8/8/8/5kp1/8/5K2 b - - 0 1,True,6,2748,3.46,"PovScore(Cp(+20), BLACK)"
6k1/8/6K1/7P/8/8/8/8 w - - 0 1,True,1,207,0.055,"PovScore(Cp(+23), WHITE)"
8/8/8/8/8/5pk1/8/6K1 b - - 0 1,True,2,314,0.01,"PovScore(Cp(-5), BLACK)"
8/8/8/8/8/6kp/8/6K1 b - - 0 1,True,2,330,0.009,"PovScore(Cp(-21), BLACK)"
8/8/8/8/8/7p/8/5K1k w - - 0 1,False,6,1337,0.123,"PovScore(Cp(+1693), WHITE)"
7k/8/6PK/8/8/8/8/8 w - - 0 1,True,1,135,0.003,"PovScore(Cp(+23), WHITE)"
7K/5k2/7P/8/8/8/8/8 b - - 0 1,True,1,57,0.021,"PovScore(Cp(-25), BLACK)"
8/8/8/p7/k1b5/8/8/1K6 b - - 0 1,False,6,4446,0.867,"PovScore(Cp(+126), BLACK)"
8/2N3k1/4p2p/1p2Pp1K/1P1n1P1P/8/8/8 b - - 0 1,False,6,7203,2.713,"PovScore(Cp(+192), BLACK)"
8/8/8/8/8/4pk2/8/5K2 b - - 0 1,True,2,317,0.008,"PovScore(Cp(-10), BLACK)"
6Q1/4K3/8/5q2/k7/4Q3/8/8 b - - 0 1,True,3,2576,0.465,"PovScore(Cp(+24), BLACK)"
8/8/6pp/8/7K/7P/6r1/5Rk1 b - - 0 1,True,3,725,0.073,"PovScore(Cp(+24), BLACK)"
8/8/8/8/8/1kR5/p5r1/K7 b - - 0 1,True,6,12308,1.547,"PovScore(Cp(+26), BLACK)"
8/8/8/8/7p/6k1/8/6K1 b - - 0 1,True,1,221,0.926,"PovScore(Cp(+23), BLACK)"
1k6/8/PK6/8/8/2B5/8/8 w - - 0 1,True,1,507,0.076,"PovScore(Cp(+23), WHITE)"
8/8/8/8/8/5kp1/8/7K b - - 0 1,True,6,2915,0.145,"PovScore(Cp(+23), BLACK)"
