fen,success,depth,nodes,time_s,score
KRRBBQQQ/PPPPPPPP/8/6p1/3b4/7k/8/8 w - - 0 1,True,1,6,1.947,0
3b3k/p6p/1p5P/3q4/8/n7/PP6/K4Q2 w - - 0 1,False,6,26338,1.588,-29
8/8/8/8/8/p7/2K5/k7 w - - 0 1,False,6,2099,0.163,+729
8/2K3R1/8/8/8/7p/8/7k w - - 0 1,False,6,10423,1.114,+827
8/8/8/8/8/5kp1/8/5K2 b - - 0 1,True,2,345,0.037,+10
7k/8/5KP1/8/8/8/8/8 w - - 0 1,True,1,55,0.02,-25
6k1/8/5PK1/8/8/8/8/8 w - - 0 1,True,1,59,0.026,-25
3k4/8/2PK4/8/8/8/8/8 w - - 0 1,True,1,211,0.023,+23
8/8/8/8/8/4pk2/8/5K2 b - - 0 1,True,5,1221,0.128,+21
8/8/1P6/8/3b4/6kp/5N2/6K1 b - - 0 1,False,6,5556,0.625,+19148
5k2/8/4PK2/8/8/8/8/8 w - - 0 1,True,1,60,0.019,-25
7k/8/6PK/8/8/8/8/8 w - - 0 1,True,1,139,0.012,+23
6k1/8/6KP/8/8/8/8/8 w - - 0 1,True,1,209,0.021,+23
1k6/8/PK6/8/8/8/8/8 w - - 0 1,True,1,211,0.024,+23
6k1/8/6BP/6K1/8/8/8/8 w - - 0 1,True,1,72,0.033,-25
8/8/8/8/8/6kp/8/6K1 b - - 0 1,True,2,330,0.036,-9
8/8/8/4K3/8/7Q/5p2/6k1 w - - 0 1,True,2,977,0.129,+29
3k3n/6KP/8/8/8/8/8/8 b - - 0 1,True,1,193,0.023,+23
8/8/8/8/8/5pk1/8/6K1 b - - 0 1,True,4,926,0.101,+9
k7/2K5/nP6/8/8/8/5B2/8 w - - 0 1,True,3,801,0.113,-29
6k1/8/6KP/7P/8/8/8/8 w - - 0 1,True,1,53,0.024,-25
6k1/8/7P/6K1/8/2p5/2B5/8 w - - 0 1,False,6,10067,1.14,+2237
8/8/8/8/4q2p/7K/4pk1P/6Q1 b - - 0 1,True,6,19543,0.918,+15
8/8/8/8/8/6kp/8/6K1 b - - 0 1,True,2,327,0.142,-9
5k2/8/5KP1/8/8/8/8/8 w - - 0 1,True,1,213,0.035,+23
7k/7P/6K1/8/p7/N7/8/1q6 w - - 0 1,False,6,2556,0.386,+895
8/8/8/8/8/4kp2/8/4K3 b - - 0 1,True,2,339,0.038,-12
4k3/8/4KP2/8/8/8/8/8 w - - 0 1,True,1,211,0.046,+23
7k/8/5KP1/8/8/8/8/8 w - - 0 1,True,1,53,0.013,-25
3R1k2/8/8/8/1p6/5p2/1r3p2/5K2 b - - 0 1,False,6,3100,0.351,-243
6k1/8/5PK1/8/8/8/8/8 w - - 0 1,True,1,53,0.007,-25
8/8/8/8/8/6pk/8/7K b - - 0 1,True,2,240,0.045,-16
8/8/8/8/8/5kp1/8/5K2 b - - 0 1,True,2,336,0.019,+10
6k1/8/6K1/7P/8/8/8/8 w - - 0 1,True,1,207,0.046,+23
