fen,success,depth,nodes,time_s,score
KRRBBQQQ/PPPPPPPP/8/6p1/3b4/7k/8/8 w - - 0 1,True,1,6,2.217,0
3b3k/p6p/1p5P/3q4/8/n7/PP6/K4Q2 w - - 0 1,False,6,24228,1.24,+176
8/8/8/8/8/p7/2K5/k7 w - - 0 1,False,6,1909,0.16,+1324
8/2K3R1/8/8/8/7p/8/7k w - - 0 1,False,6,10780,0.927,+762
8/8/8/8/8/5kp1/8/5K2 b - - 0 1,True,2,353,0.058,+22
7k/8/5KP1/8/8/8/8/8 w - - 0 1,True,1,210,0.034,+23
6k1/8/5PK1/8/8/8/8/8 w - - 0 1,True,1,217,0.036,+23
3k4/8/2PK4/8/8/8/8/8 w - - 0 1,True,1,211,0.019,+23
8/8/8/8/8/4pk2/8/5K2 b - - 0 1,False,6,2093,0.302,+666
8/8/1P6/8/3b4/6kp/5N2/6K1 b - - 0 1,False,6,6374,0.889,+43
5k2/8/4PK2/8/8/8/8/8 w - - 0 1,True,1,211,0.017,+23
7k/8/6PK/8/8/8/8/8 w - - 0 1,True,1,142,0.016,+23
6k1/8/6KP/8/8/8/8/8 w - - 0 1,True,1,209,0.019,+23
1k6/8/PK6/8/8/8/8/8 w - - 0 1,True,1,213,0.017,+23
6k1/8/6BP/6K1/8/8/8/8 w - - 0 1,True,1,73,0.055,-25
8/8/8/8/8/6kp/8/6K1 b - - 0 1,True,2,319,0.038,-25
8/8/8/4K3/8/7Q/5p2/6k1 w - - 0 1,True,3,2494,0.331,-14
3k3n/6KP/8/8/8/8/8/8 b - - 0 1,True,1,90,0.037,-25
8/8/8/8/8/5pk1/8/6K1 b - - 0 1,False,6,2042,0.239,+657
k7/2K5/nP6/8/8/8/5B2/8 w - - 0 1,True,3,644,0.068,-19
6k1/8/6KP/7P/8/8/8/8 w - - 0 1,True,5,1743,0.187,+18
6k1/8/7P/6K1/8/2p5/2B5/8 w - - 0 1,True,1,451,0.053,+23
8/8/8/8/4q2p/7K/4pk1P/6Q1 b - - 0 1,True,6,22111,0.832,+15
8/8/8/8/8/6kp/8/6K1 b - - 0 1,True,2,315,0.012,-25
5k2/8/5KP1/8/8/8/8/8 w - - 0 1,True,1,211,0.048,+23
7k/7P/6K1/8/p7/N7/8/1q6 w - - 0 1,False,6,1818,0.513,+154
8/8/8/8/8/4kp2/8/4K3 b - - 0 1,True,2,337,0.061,+7
4k3/8/4KP2/8/8/8/8/8 w - - 0 1,True,1,211,0.044,+23
7k/8/5KP1/8/8/8/8/8 w - - 0 1,True,1,210,0.012,+23
3R1k2/8/8/8/1p6/5p2/1r3p2/5K2 b - - 0 1,False,6,2953,0.299,-443
6k1/8/5PK1/8/8/8/8/8 w - - 0 1,True,1,207,0.005,+23
8/8/8/8/8/6pk/8/7K b - - 0 1,True,2,228,0.048,+25
