fen,success,depth,nodes,time_s,score
KRRBBQQQ/PPPPPPPP/8/6p1/3b4/7k/8/8 w - - 0 1,True,1,6,1.989,0
3b3k/p6p/1p5P/3q4/8/n7/PP6/K4Q2 w - - 0 1,False,6,27110,3.099,-46
8/8/8/8/8/p7/2K5/k7 w - - 0 1,False,6,2517,0.229,+730
8/2K3R1/8/8/8/7p/8/7k w - - 0 1,False,6,12908,1.46,+490
8/8/8/8/8/5kp1/8/5K2 b - - 0 1,True,2,360,0.061,-27
7k/8/5KP1/8/8/8/8/8 w - - 0 1,True,1,61,0.049,-25
6k1/8/5PK1/8/8/8/8/8 w - - 0 1,True,1,68,0.028,-25
3k4/8/2PK4/8/8/8/8/8 w - - 0 1,True,1,211,0.024,+23
8/8/8/8/8/4pk2/8/5K2 b - - 0 1,True,2,341,0.053,-14
8/8/1P6/8/3b4/6kp/5N2/6K1 b - - 0 1,False,6,6826,1.218,+84
5k2/8/4PK2/8/8/8/8/8 w - - 0 1,True,1,60,0.033,-25
7k/8/6PK/8/8/8/8/8 w - - 0 1,True,1,139,0.013,+23
6k1/8/6KP/8/8/8/8/8 w - - 0 1,True,1,217,0.023,+23
1k6/8/PK6/8/8/8/8/8 w - - 0 1,True,1,217,0.034,+23
6k1/8/6BP/6K1/8/8/8/8 w - - 0 1,True,5,5459,1.241,+20
8/8/8/8/8/6kp/8/6K1 b - - 0 1,True,2,335,0.043,-16
8/8/8/4K3/8/7Q/5p2/6k1 w - - 0 1,True,5,12309,2.546,+25
3k3n/6KP/8/8/8/8/8/8 b - - 0 1,True,1,192,0.632,+23
8/8/8/8/8/5pk1/8/6K1 b - - 0 1,True,5,1090,0.131,+19
k7/2K5/nP6/8/8/8/5B2/8 w - - 0 1,False,6,4592,0.959,+192
6k1/8/6KP/7P/8/8/8/8 w - - 0 1,False,6,2463,0.372,+4204
6k1/8/7P/6K1/8/2p5/2B5/8 w - - 0 1,False,6,9760,1.287,+1900
8/8/8/8/4q2p/7K/4pk1P/6Q1 b - - 0 1,True,6,9013,0.767,+14
8/8/8/8/8/6kp/8/6K1 b - - 0 1,True,2,322,0.13,-16
5k2/8/5KP1/8/8/8/8/8 w - - 0 1,True,1,56,0.04,-25
7k/7P/6K1/8/p7/N7/8/1q6 w - - 0 1,False,6,3495,0.539,+828
8/8/8/8/8/4kp2/8/4K3 b - - 0 1,True,2,318,0.033,-29
4k3/8/4KP2/8/8/8/8/8 w - - 0 1,True,1,213,0.018,+23
7k/8/5KP1/8/8/8/8/8 w - - 0 1,True,1,53,0.007,-25
3R1k2/8/8/8/1p6/5p2/1r3p2/5K2 b - - 0 1,False,6,3904,0.43,-608
6k1/8/5PK1/8/8/8/8/8 w - - 0 1,True,1,53,0.006,-25
8/8/8/8/8/6pk/8/7K b - - 0 1,True,2,240,0.032,-16
8/8/8/8/8/5kp1/8/5K2 b - - 0 1,False,6,2800,0.424,+62
6k1/8/6K1/7P/8/8/8/8 w - - 0 1,True,1,211,0.019,+23
8/8/8/8/8/5pk1/8/6K1 b - - 0 1,True,2,322,0.017,-27
8/8/8/8/8/6kp/8/6K1 b - - 0 1,True,2,320,0.012,-16
8/8/8/8/8/7p/8/5K1k w - - 0 1,False,6,1334,0.123,+728
7k/8/6PK/8/8/8/8/8 w - - 0 1,True,1,135,0.006,+23
7K/5k2/7P/8/8/8/8/8 b - - 0 1,True,1,57,0.026,-25
8/8/8/p7/k1b5/8/8/1K6 b - - 0 1,True,4,1781,0.243,+18
8/2N3k1/4p2p/1p2Pp1K/1P1n1P1P/8/8/8 b - - 0 1,True,1,321,0.047,+23
8/8/8/8/8/4pk2/8/5K2 b - - 0 1,False,6,2658,0.389,+88
6Q1/4K3/8/5q2/k7/4Q3/8/8 b - - 0 1,True,3,2758,0.464,+16
8/8/6pp/8/7K/7P/6r1/5Rk1 b - - 0 1,True,3,679,0.304,-12
8/8/8/8/8/1kR5/p5r1/K7 b - - 0 1,True,6,12158,0.83,+25
8/8/8/8/7p/6k1/8/6K1 b - - 0 1,True,2,253,0.224,+29
1k6/8/PK6/8/8/2B5/8/8 w - - 0 1,True,3,1324,0.131,+21
8/8/8/8/8/5kp1/8/7K b - - 0 1,False,6,3232,0.28,+64
5k1K/8/7P/8/8/8/8/8 b - - 0 1,True,1,47,0.009,-25
4k3/8/4KP2/8/8/8/8/8 w - - 0 1,True,1,207,0.009,+23
8/8/8/8/8/3kp3/8/3K4 b - - 0 1,True,2,381,0.043,+10
4k3/8/4KP2/8/8/8/8/8 w - - 0 1,True,1,207,0.015,+23
6rk/8/5P1K/7P/8/p7/B7/8 w - - 0 1,True,5,2672,0.485,+24
8/8/8/8/7k/7p/8/6K1 b - - 0 1,True,2,285,0.114,-13
5k1K/8/7P/8/8/8/8/8 b - - 0 1,True,1,49,0.016,-25
1k6/8/P7/1K6/8/8/8/8 w - - 0 1,True,1,211,0.037,+23
6k1/8/6K1/7P/8/8/8/8 w - - 0 1,True,1,207,0.022,+23
8/8/8/8/7p/8/7p/5K1k w - - 0 1,False,6,1160,0.113,+3261
8/8/8/5N2/8/6k1/6p1/6K1 b - - 0 1,True,3,306,0.039,-27
6k1/8/5PK1/8/8/8/8/8 w - - 0 1,True,1,53,0.021,-25
6k1/8/6BP/5K2/8/8/8/8 w - - 0 1,True,5,5572,0.66,+25
8/8/8/8/8/7p/5K2/7k w - - 0 1,False,6,2450,0.123,+730
K7/2k5/P7/5p2/8/8/8/8 b - - 0 1,True,5,1891,0.333,-22
5k2/8/5KP1/8/8/8/8/8 w - - 0 1,True,1,54,0.009,-25
6k1/8/6KP/8/8/8/8/8 w - - 0 1,True,1,217,0.007,+23
7K/5k2/7P/p7/Pp6/8/8/8 b - - 0 1,True,5,1719,0.247,+18
1B6/Pk6/8/1K6/8/8/8/8 w - - 0 1,False,6,11454,1.736,+288
8/8/8/8/8/6pk/8/7K b - - 0 1,True,2,225,0.013,-16
2rQ3k/7p/1p6/1p2p3/4Pp2/5n1b/7P/6RK b - - 0 1,False,6,14543,0.939,-2074
6k1/3B4/7K/8/8/8/7P/8 w - - 0 1,True,1,403,0.047,+23
6k1/8/7P/5K2/8/8/8/8 w - - 0 1,True,1,237,0.019,+23
8/8/8/8/8/6kp/8/6K1 b - - 0 1,True,2,320,0.016,-16
5k2/8/4PK2/8/8/8/8/8 w - - 0 1,True,1,54,0.006,-25
6K1/7P/5k1r/8/8/8/8/8 b - - 0 1,False,6,9481,2.125,+251
1k6/8/1K6/P7/8/8/8/8 w - - 0 1,True,1,207,0.017,+23
